"Parcel.Number","Parcel Type"
"102-17-421","Rental Parcel"
"102-82-048","Residential Parcel"
"102-85-600","Residential Parcel"
"102-85-682","Residential Parcel"
"102-90-588","Rental Parcel"
"102-17-544","Residential Parcel"
"102-17-580","Residential Parcel"
"102-58-073","Residential Parcel"
"102-58-148","Rental Parcel"
"102-72-309","Residential Parcel"
"102-72-384","Residential Parcel"
"102-85-722","Residential Parcel"
"102-85-724","Residential Parcel"
"102-90-470","Rental Parcel"
"102-90-572","Residential Parcel"
"102-17-424","Residential Parcel"
"102-58-068","Residential Parcel"
"102-72-406","Residential Parcel"
"102-90-520","Rental Parcel"
"102-17-244","Residential Parcel"
"102-17-391","Residential Parcel"
"102-90-221","Residential Parcel"
"102-18-830","Residential Parcel"
"102-58-324","Residential Parcel"
"102-85-805","Residential Parcel"
"102-90-482","Residential Parcel"
"102-90-585","Residential Parcel"
"102-72-226","Residential Parcel"
"102-85-681","Residential Parcel"
"102-85-838","Rental Parcel"
"102-90-570","Residential Parcel"
"102-90-663","Residential Parcel"
"102-17-460","Residential Parcel"
"102-72-265","Residential Parcel"
"102-82-054","Residential Parcel"
"102-90-516","Rental Parcel"
"102-17-319","Residential Parcel"
"102-17-851","Residential Parcel"
"102-58-072","Residential Parcel"
"102-82-137","Residential Parcel"
"102-85-586","Residential Parcel"
"102-85-793","Residential Parcel"
"102-90-828","Residential Parcel"
"102-18-835","Residential Parcel"
"102-17-375","Residential Parcel"
"102-17-780","Residential Parcel"
"102-90-599","Residential Parcel"
"102-90-438","Residential Parcel"
"102-17-400","Residential Parcel"
"102-17-659","Residential Parcel"
"102-58-130","Residential Parcel"
"102-85-755","Residential Parcel"
"102-85-826","Residential Parcel"
"102-90-693","Residential Parcel"
"102-90-703","Residential Parcel"
"102-22-856","Residential Parcel"
"102-17-318","Residential Parcel"
"102-82-318","Residential Parcel"
"102-85-620","Residential Parcel"
"102-90-582","Residential Parcel"
"102-90-603","Residential Parcel"
"102-17-267","Residential Parcel"
"102-17-389","Rental Parcel"
"102-17-834","Residential Parcel"
"102-72-342","Rental Parcel"
"102-72-396","Residential Parcel"
"102-85-688","Residential Parcel"
"102-85-747","Residential Parcel"
"102-17-309A","Residential Parcel"
"102-58-078","Residential Parcel"
"102-58-333","Residential Parcel"
"102-72-306","Rental Parcel"
"102-82-140","Residential Parcel"
"102-82-301","Residential Parcel"
"102-85-612","Residential Parcel"
"102-85-820","Residential Parcel"
"102-90-740","Residential Parcel"
"102-90-780","Residential Parcel"
"102-17-453","Residential Parcel"
"102-72-351","Residential Parcel"
"102-85-587","Residential Parcel"
"102-17-436","Residential Parcel"
"102-17-616","Residential Parcel"
"102-17-868","Residential Parcel"
"102-58-074","Residential Parcel"
"102-85-710","Residential Parcel"
"102-90-601","Residential Parcel"
"102-90-744","Residential Parcel"
"102-72-200","Rental Parcel"
"102-82-159","Residential Parcel"
"102-85-671","Residential Parcel"
"102-90-676","Residential Parcel"
"102-72-319","Residential Parcel"
"102-85-625","Residential Parcel"
"102-90-391","Residential Parcel"
"102-90-554","Residential Parcel"
"102-90-790","Rental Parcel"
"102-17-776","Rental Parcel"
"102-72-346","Residential Parcel"
"102-90-594","Rental Parcel"
"102-22-860","Residential Parcel"
"102-17-585","Residential Parcel"
"102-72-392","Residential Parcel"
"102-90-531","Residential Parcel"
"102-17-367","Residential Parcel"
"102-82-316","Residential Parcel"
"102-85-686","Residential Parcel"
"102-90-393","Residential Parcel"
"102-90-548","Residential Parcel"
"102-90-714","Residential Parcel"
"102-90-743","Residential Parcel"
"102-90-757","Residential Parcel"
"102-90-784","Residential Parcel"
"102-17-403","Residential Parcel"
"102-90-597","Rental Parcel"
"102-22-849","Residential Parcel"
"102-17-574","Residential Parcel"
"102-17-664","Residential Parcel"
"102-17-818","Residential Parcel"
"102-58-307","Residential Parcel"
"102-90-223","Residential Parcel"
"102-82-056","Residential Parcel"
"102-85-613","Residential Parcel"
"102-90-414","Residential Parcel"
"102-90-420","Residential Parcel"
"102-90-824","Residential Parcel"
"102-85-617","Residential Parcel"
"102-85-700","Residential Parcel"
"102-90-518","Residential Parcel"
"102-72-283","Residential Parcel"
"102-82-313","Residential Parcel"
"102-85-727","Residential Parcel"
"102-85-773","Residential Parcel"
"102-90-715","Rental Parcel"
"102-90-825","Rental Parcel"
"102-17-371","Residential Parcel"
"102-17-593","Rental Parcel"
"102-72-197","Residential Parcel"
"102-82-657A","Residential Parcel"
"102-90-481","Residential Parcel"
"102-90-604","Residential Parcel"
"102-17-270","Residential Parcel"
"102-58-142","Residential Parcel"
"102-58-165","Residential Parcel"
"102-58-322","Residential Parcel"
"102-82-311","Residential Parcel"
"102-85-744","Residential Parcel"
"102-90-502","Residential Parcel"
"102-22-857","Rental Parcel"
"102-72-205","Residential Parcel"
"102-72-210","Rental Parcel"
"102-72-311","Residential Parcel"
"102-85-770","Residential Parcel"
"102-90-495","Residential Parcel"
"102-90-513","Residential Parcel"
"102-18-831","Residential Parcel"
"102-17-606","Residential Parcel"
"102-17-802","Residential Parcel"
"102-72-251","Residential Parcel"
"102-85-812","Residential Parcel"
"102-82-151","Residential Parcel"
"102-90-696","Residential Parcel"
"102-72-330","Residential Parcel"
"102-85-733","Residential Parcel"
"102-90-746","Residential Parcel"
"102-90-765","Residential Parcel"
"102-58-146","Residential Parcel"
"102-17-862","Residential Parcel"
"102-82-157","Residential Parcel"
"102-90-529","Residential Parcel"
"102-90-668","Residential Parcel"
"102-90-776","Residential Parcel"
"102-90-777","Residential Parcel"
"102-82-310","Residential Parcel"
"102-82-315","Residential Parcel"
"102-90-709","Residential Parcel"
"102-17-434","Residential Parcel"
"102-17-651","Residential Parcel"
"102-17-666","Rental Parcel"
"102-58-174","Residential Parcel"
"102-72-394","Residential Parcel"
"102-82-156","Residential Parcel"
"102-90-427","Residential Parcel"
"102-90-690","Residential Parcel"
"102-17-251","Residential Parcel"
"102-82-654A","Residential Parcel"
"102-85-737","Residential Parcel"
"102-85-757","Residential Parcel"
"102-90-667","Residential Parcel"
"102-17-414","Rental Parcel"
"102-82-317","Residential Parcel"
"102-85-846","Residential Parcel"
"102-90-591","Residential Parcel"
"102-17-653","Residential Parcel"
"102-85-791","Rental Parcel"
"102-85-813","Residential Parcel"
"102-17-249","Residential Parcel"
"102-17-423","Residential Parcel"
"102-17-457","Residential Parcel"
"102-17-607","Residential Parcel"
"102-17-835","Residential Parcel"
"102-58-157","Residential Parcel"
"102-72-181","Residential Parcel"
"102-82-309","Residential Parcel"
"102-72-310","Residential Parcel"
"102-17-254","Residential Parcel"
"102-17-542A","Residential Parcel"
"102-58-151","Rental Parcel"
"102-72-253","Residential Parcel"
"102-85-742","Residential Parcel"
"102-85-743","Residential Parcel"
"102-85-778","Residential Parcel"
"102-90-216","Residential Parcel"
"102-90-808","Residential Parcel"
"102-17-845","Residential Parcel"
"102-72-183","Residential Parcel"
"102-85-819","Residential Parcel"
"102-90-486","Rental Parcel"
"102-85-619","Residential Parcel"
"102-85-718","Rental Parcel"
"102-90-589","Residential Parcel"
"102-17-262","Residential Parcel"
"102-72-254","Residential Parcel"
"102-85-735","Residential Parcel"
"102-85-811","Residential Parcel"
"102-90-410","Residential Parcel"
"102-90-480","Residential Parcel"
"102-90-538","Residential Parcel"
"102-17-612","Residential Parcel"
"102-17-763A","Rental Parcel"
"102-90-569","Residential Parcel"
"102-90-220","Residential Parcel"
"102-17-397","Residential Parcel"
"102-17-442","Residential Parcel"
"102-17-652","Residential Parcel"
"102-58-071","Residential Parcel"
"102-58-320","Residential Parcel"
"102-90-832","Rental Parcel"
"102-82-655A","Rental Parcel"
"102-85-849","Rental Parcel"
"102-90-653","Residential Parcel"
"102-90-829","Residential Parcel"
"102-17-263","Residential Parcel"
"102-17-854","Residential Parcel"
"102-72-401","Residential Parcel"
"102-85-640","Residential Parcel"
"102-90-215","Rental Parcel"
"102-18-832","Residential Parcel"
"102-17-779","Rental Parcel"
"102-17-643","Residential Parcel"
"102-72-201","Residential Parcel"
"102-72-387","Residential Parcel"
"102-85-599","Residential Parcel"
"102-90-494","Rental Parcel"
"102-17-618","Residential Parcel"
"102-58-079","Residential Parcel"
"102-58-172","Residential Parcel"
"102-58-313","Residential Parcel"
"102-85-579","Residential Parcel"
"102-90-219","Rental Parcel"
"102-90-500","Residential Parcel"
"102-90-623","Residential Parcel"
"102-90-637","Land Parcel"
"102-90-687","Residential Parcel"
"102-72-352","Residential Parcel"
"102-90-704","Residential Parcel"
"102-90-717","Residential Parcel"
"102-17-243","Residential Parcel"
"102-17-245","Residential Parcel"
"102-17-261","Residential Parcel"
"102-72-189","Residential Parcel"
"102-72-308","Residential Parcel"
"102-72-363","Residential Parcel"
"102-90-748","Residential Parcel"
"102-90-805","Residential Parcel"
"102-22-852","Residential Parcel"
"102-90-408","Residential Parcel"
"102-17-328","Residential Parcel"
"102-17-644","Residential Parcel"
"102-72-228","Residential Parcel"
"102-72-230","Rental Parcel"
"102-85-638","Residential Parcel"
"102-90-458","Residential Parcel"
"102-90-672","Residential Parcel"
"102-90-739","Residential Parcel"
"102-90-806","Residential Parcel"
"102-17-566","Residential Parcel"
"102-17-601","Residential Parcel"
"102-58-149","Residential Parcel"
"102-82-297A","Residential Parcel"
"102-90-789","Residential Parcel"
"102-82-158","Residential Parcel"
"102-90-624","Residential Parcel"
"102-90-680","Residential Parcel"
"102-17-383","Residential Parcel"
"102-17-555","Residential Parcel"
"102-72-196","Residential Parcel"
"102-85-821","Residential Parcel"
"102-90-655","Residential Parcel"
"102-17-452","Residential Parcel"
"102-17-572","Residential Parcel"
"102-17-615","Residential Parcel"
"102-17-792","Residential Parcel"
"102-72-347","Residential Parcel"
"102-58-312","Residential Parcel"
"102-72-241","Residential Parcel"
"102-72-280","Residential Parcel"
"102-85-676","Residential Parcel"
"102-90-519","Residential Parcel"
"102-85-783","Residential Parcel"
"102-90-775","Rental Parcel"
